workout_date,workout_title,exercise_title,exercise_template_id,set_index,set_type,weight_kg,reps
2026-05-23,LEGS,Leg Extension (Machine),75A4F6C4,0,normal,47.63,10
2026-05-23,LEGS,Leg Extension (Machine),75A4F6C4,1,normal,40.82,15
2026-05-23,LEGS,Squat (Smith Machine),DDCC3821,0,normal,0,8
2026-05-23,LEGS,Squat (Smith Machine),DDCC3821,1,normal,0,12
2026-05-23,LEGS,Leg Press (Machine),C7973E0E,0,normal,22.68,12
2026-05-23,LEGS,Leg Press (Machine),C7973E0E,1,normal,22.68,16
2026-05-23,LEGS,Seated Leg Curl (Machine),11A123F3,0,normal,40.82,10
2026-05-23,LEGS,Seated Leg Curl (Machine),11A123F3,1,normal,34.02,20
2026-05-23,LEGS,Seated Leg Curl (Machine),11A123F3,2,normal,34.02,20
2026-05-23,LEGS,Hip Adduction (Machine),8BEBFED6,0,normal,27.22,8
2026-05-23,LEGS,Hip Adduction (Machine),8BEBFED6,1,normal,20.41,12
2026-05-23,LEGS,Hip Adduction (Machine),8BEBFED6,2,normal,13.61,20
2026-05-23,LEGS,Hip Adduction (Machine),8BEBFED6,3,normal,13.61,20
2026-05-22,PULL,Seated Row (Machine),1DF4A847,0,normal,36.29,12
2026-05-22,PULL,Seated Row (Machine),1DF4A847,1,normal,31.75,16
2026-05-22,PULL,Lat Pulldown (Machine),473CF5B8,0,normal,36.29,8
2026-05-22,PULL,Lat Pulldown (Machine),473CF5B8,1,normal,27.22,16
2026-05-22,PULL,Lateral Raise (Dumbbell),422B08F1,0,normal,9.07,16
2026-05-22,PULL,Lateral Raise (Dumbbell),422B08F1,1,normal,9.07,16
2026-05-22,PULL,Lateral Raise (Dumbbell),422B08F1,2,normal,9.07,16
2026-05-22,PULL,Rear Delt Reverse Fly (Machine),D8281C62,0,normal,9.07,12
2026-05-22,PULL,Rear Delt Reverse Fly (Machine),D8281C62,1,normal,9.07,12
2026-05-22,PULL,Straight Arm Lat Pulldown (Cable),D2387AB1,0,normal,13.61,16
2026-05-22,PULL,Straight Arm Lat Pulldown (Cable),D2387AB1,1,normal,13.61,16
2026-05-22,PULL,Straight Arm Lat Pulldown (Cable),D2387AB1,2,normal,13.61,16
2026-05-22,PULL,Pull Up (Assisted),2C37EC5E,0,normal,22.68,9
2026-05-22,PULL,Pull Up (Assisted),2C37EC5E,1,normal,31.75,12
2026-05-22,PULL,Pull Up (Assisted),2C37EC5E,2,normal,31.75,12
2026-05-22,PULL,Preacher Curl (Machine),1E9A6B8E,0,normal,13.61,12
2026-05-22,PULL,Preacher Curl (Machine),1E9A6B8E,1,normal,9.07,16
2026-05-22,PULL,Preacher Curl (Machine),1E9A6B8E,2,normal,9.07,16
2026-05-22,PULL,Hammer Curl (Dumbbell),7E3BC8B6,0,normal,13.61,12
2026-05-22,PULL,Hammer Curl (Dumbbell),7E3BC8B6,1,normal,13.61,12
2026-05-22,PULL,Hammer Curl (Dumbbell),7E3BC8B6,2,normal,13.61,12
2026-05-21,PUSH,Incline Chest Press (Machine),FBF92739,0,normal,22.68,12
2026-05-21,PUSH,Incline Chest Press (Machine),FBF92739,1,normal,13.61,16
2026-05-21,PUSH,Chest Press (Machine),7EB3F7C3,0,normal,22.68,10
2026-05-21,PUSH,Chest Press (Machine),7EB3F7C3,1,normal,13.61,16
2026-05-21,PUSH,Cable Fly Crossovers,651F844C,0,normal,27.22,8
2026-05-21,PUSH,Cable Fly Crossovers,651F844C,1,normal,18.14,16
2026-05-21,PUSH,Cable Fly Crossovers,651F844C,2,normal,18.14,16
2026-05-21,PUSH,Push Up,392887AA,0,failure,0,20
2026-05-21,PUSH,Front Raise (Cable),DBB91A3C,0,normal,13.61,12
2026-05-21,PUSH,Front Raise (Cable),DBB91A3C,1,normal,9.07,16
2026-05-21,PUSH,Triceps Pushdown,93A552C6,0,normal,27.22,14
2026-05-21,PUSH,Triceps Pushdown,93A552C6,1,normal,27.22,14
2026-05-21,PUSH,Triceps Pushdown,93A552C6,2,normal,27.22,8
2026-05-21,PUSH,Skullcrusher (Dumbbell),68F8A292,0,normal,9.07,16
2026-05-21,PUSH,Skullcrusher (Dumbbell),68F8A292,1,normal,9.07,16
2026-05-21,PUSH,Skullcrusher (Dumbbell),68F8A292,2,normal,9.07,16
2026-05-09,Morning workout ☀️,Seated Cable Row - V Grip (Cable),0393F233,0,warmup,18.14,6
2026-05-09,Morning workout ☀️,Seated Cable Row - V Grip (Cable),0393F233,1,normal,31.75,10
2026-05-09,Morning workout ☀️,Seated Cable Row - V Grip (Cable),0393F233,2,normal,31.75,10
2026-05-09,Morning workout ☀️,Seated Cable Row - V Grip (Cable),0393F233,3,normal,31.75,10
2026-05-09,Morning workout ☀️,Lat Pulldown (Cable),6A6C31A5,0,normal,40.82,10
2026-05-09,Morning workout ☀️,Lat Pulldown (Cable),6A6C31A5,1,normal,40.82,10
2026-05-09,Morning workout ☀️,Lat Pulldown (Cable),6A6C31A5,2,normal,40.82,10
2026-05-09,Morning workout ☀️,Incline Bench Press (Dumbbell),07B38369,0,warmup,27.22,7
2026-05-09,Morning workout ☀️,Incline Bench Press (Dumbbell),07B38369,1,normal,40.82,12
2026-05-09,Morning workout ☀️,Incline Bench Press (Dumbbell),07B38369,2,normal,40.82,12
2026-05-09,Morning workout ☀️,Incline Bench Press (Dumbbell),07B38369,3,normal,40.82,8
2026-05-09,Morning workout ☀️,Triceps Pushdown,93A552C6,0,normal,27.22,12
2026-05-09,Morning workout ☀️,Triceps Pushdown,93A552C6,1,normal,27.22,12
2026-05-09,Morning workout ☀️,Triceps Pushdown,93A552C6,2,normal,27.22,12
2026-05-06,Morning workout ☀️,Chest Supported Incline Row (Dumbbell),914F3A96,0,warmup,27.22,7
2026-05-06,Morning workout ☀️,Chest Supported Incline Row (Dumbbell),914F3A96,1,normal,36.29,9
