system,category,factual_n,factual_score,open_n,open_score,coverage_n,coverage_rate,tool_calls_mean,tool_calls_max,tokens_mean,tokens_total
baseline_csv,A,12,5.5,0,0.0,12,0.75,0,0,245558.0,2946699
baseline_csv,B,9,5.0,0,0.0,9,1.0,0,0,249676,2247084
baseline_csv,D,9,5.5,0,0.0,9,0.6666666666666666,0,0,226355.0,2037199
baseline_csv,E,0,0.0,9,9.0,9,1.0,0,0,468194.0,4213747
baseline_csv,_all,30,16.0,9,9.0,39,0.8461538461538461,0,0,293455.0,11444729
baseline_nodata,A,12,0.0,0,0.0,12,0.08333333333333333,0,0,1301.0,15609
baseline_nodata,B,9,0.0,0,0.0,9,0.0,0,0,1537.0,13835
baseline_nodata,D,9,0.0,0,0.0,9,0.0,0,0,889.0,7999
baseline_nodata,E,0,0.0,9,0.0,9,0.3333333333333333,0,0,8517.0,76649
baseline_nodata,_all,30,0.0,9,0.0,39,0.10256410256410256,0,0,2925.0,114092
chrisdoc,A,12,8.0,0,0.0,12,1.0,11.5,19,427042.0,5124509
chrisdoc,B,9,6.0,0,0.0,9,1.0,14.6,24,308576.0,2777186
chrisdoc,D,9,9.0,0,0.0,9,1.0,2.8,5,107199.0,964787
chrisdoc,E,0,0.0,9,8.0,9,1.0,9.3,21,329227.0,2963047
chrisdoc,_all,30,23.0,9,8.0,39,1.0,9.7,24,303321.0,11829529
meimakes,A,12,0.0,0,0.0,12,0.08333333333333333,70.9,83,1082735.0,12992822
meimakes,B,9,0.0,0,0.0,9,0.0,82,96,847903,7631127
meimakes,D,9,4.5,0,0.0,9,1.0,6.4,10,37462.0,337160
meimakes,E,0,0.0,9,3.0,9,0.6666666666666666,53.8,86,532228,4790052
meimakes,_all,30,4.5,9,3.0,39,0.41025641025641024,54.6,96,660286.0,25751161
thin,A,12,7.5,0,0.0,12,1.0,20.8,25,450813.0,5409761
thin,B,9,5.5,0,0.0,9,1.0,23.3,26,658350.0,5925154
thin,D,9,8.0,0,0.0,9,1.0,4.6,11,79507.0,715564
thin,E,0,0.0,9,8.5,9,1.0,11.7,17,285822.0,2572396
thin,_all,30,21.0,9,8.5,39,1.0,15.5,26,374946.0,14622875
